Course,Subject,Assignment_Title,Faculty,Release_Date,Deadline,Max_Marks,Submission_Type
CSE101,Introduction to Programming,Basic Programming Concepts,Dr. Smith,2024-01-15,2024-01-25,20,Code Submission
CSE101,Introduction to Programming,Loops and Arrays,Dr. Smith,2024-01-30,2024-02-10,25,Code + Report
CSE101,Digital Logic,Boolean Algebra,Prof. Williams,2024-01-20,2024-02-01,15,Written
CSE101,Mathematics-I,Calculus Problems Set 1,Dr. Johnson,2024-01-18,2024-01-28,20,Written
CSE101,Mathematics-I,Linear Algebra,Dr. Johnson,2024-02-15,2024-02-25,25,Written
CSE101,Introduction to Programming,Object Oriented Programming,Dr. Smith,2024-02-20,2024-03-05,30,Code + Report
CSE101,Digital Logic,Sequential Circuits,Prof. Williams,2024-03-01,2024-03-15,20,Simulation
CSE101,Physics-I,Mechanics Problem Set,Dr. Davis,2024-02-10,2024-02-20,15,Written
ECE101,Basic Electronics,Circuit Analysis,Dr. Brown,2024-01-16,2024-01-26,20,Written
ECE101,Circuit Theory,Network Theorems,Prof. Miller,2024-01-25,2024-02-05,25,Simulation
ECE101,Mathematics-I,Differential Equations,Dr. Johnson,2024-02-01,2024-02-12,20,Written
ECE101,Basic Electronics,Semiconductor Devices,Dr. Brown,2024-02-15,2024-03-01,25,Lab Report
ECE101,Circuit Theory,AC Analysis,Prof. Miller,2024-03-05,2024-03-20,30,Simulation + Report
ECE101,Physics-I,Electromagnetic Theory,Dr. Davis,2024-03-10,2024-03-25,20,Written
ME101,Engineering Mechanics,Force Analysis,Dr. Wilson,2024-01-17,2024-01-28,20,Written
ME101,Engineering Drawing,2D Projections,Prof. Taylor,2024-01-22,2024-02-02,25,Drawing
ME101,Mathematics-I,Vector Calculus,Dr. Johnson,2024-02-05,2024-02-15,20,Written
ME101,Engineering Mechanics,Structural Analysis,Dr. Wilson,2024-02-20,2024-03-05,25,Written + CAD
ME101,Workshop Practice,Machining Project,Prof. Clark,2024-03-01,2024-03-20,30,Practical + Report
ME101,Physics-I,Thermodynamics,Dr. Davis,2024-03-15,2024-03-30,20,Written
CSE101,Introduction to Programming,Final Project,Dr. Smith,2024-04-01,2024-04-20,50,Code + Report + Presentation
ECE101,Basic Electronics,Circuit Design Project,Dr. Brown,2024-04-05,2024-04-25,50,Hardware + Report
ME101,Engineering Drawing,3D Modeling Project,Prof. Taylor,2024-04-10,2024-04-30,40,CAD Project

MTECH,Advanced Databases,Choose a research paper,Dr. Kolla Morarjee,2025-01-10,2025-01-25,40,Seminar + Report
MTECH,Advanced Databases,Implementing Index Structures,Dr. Kolla Morarjee,2025-02-01,2025-02-10,25,Code + Report
MTECH,Advanced Databases,ER Model to Normalized Schema,Dr. Kolla Morarjee,2025-02-15,2025-02-25,20,Written

MTECH,Soft Computing,Implement Perceptron/Adaline/Back-Propagation/SOM from scratch,Dr. M Swamy Das,2025-01-12,2025-01-30,35,Code + Demo
MTECH,Soft Computing,Design Fuzzy Logic Controller for Washing Machine,Dr. M Swamy Das,2025-02-05,2025-02-15,25,Code + Report
MTECH,Soft Computing,Neural Net XOR Gate Task,Dr. M Swamy Das,2025-02-18,2025-02-28,15,Code

MTECH,Natural Language Processing,Build NLP-based Project and Present Seminar,Dr T Sridevi,2025-01-14,2025-01-30,40,Project + Seminar
MTECH,Natural Language Processing,Tokenization + POS Tagging using spaCy,Dr T Sridevi,2025-02-03,2025-02-12,20,Jupyter Notebook
MTECH,Natural Language Processing,Text Classification using Naive Bayes,Dr T Sridevi,2025-02-20,2025-03-02,25,Code + Report

MTECH,Big Data Analytics,Run WordCount on Hadoop and Analyze Logs,Dr. E.Padmalatha,2025-01-16,2025-01-28,25,Hadoop Job + Report
MTECH,Big Data Analytics,Compare HDFS with Traditional File System,Dr. E.Padmalatha,2025-02-06,2025-02-14,15,Written
MTECH,Big Data Analytics,Pig vs Hive: Mini Query Lab,Dr. E.Padmalatha,2025-02-18,2025-02-27,20,Code + Writeup
